seller_id,seller_city,seller_state,total_orders,unique_products,total_revenue,avg_price,avg_rating,avg_delivery_days,late_delivery
0887a9f087bcd5d9f6642b52f897fc6c,cananeia,SP,12,3,1642.00,136.83,4.42,13.6,8.33
08ad4ac1388e4420ca531c3edfc46198,itapevi,SP,6,5,221.62,31.66,2.71,6.6,0.00
08cdbae123ff67ca4e36d9d641ce0119,uba,MG,4,3,3098.99,516.50,2.50,28.8,66.67
08d0949a9a17c027262db1f3c450c26c,cascavel,PR,12,9,324.80,27.07,3.71,13.8,0.00
08d1c9478fb0d7d7fcac9c0da4e82fc7,belo horizonte,MG,1,1,538.00,538.00,5.00,10.0,0.00
08d2d642cf72b622b14dde1d2f5eb2f5,marilia,SP,17,8,914.00,43.52,4.45,14.5,14.29
08f5819815f3d06545011850bd70f0a8,santos,SP,3,3,452.00,150.67,4.67,7.7,0.00
091065b789659bc3cd9af9cb3a6253ff,canoas,RS,2,1,1359.00,679.50,3.50,11.0,0.00
0936e1837d0c79253456bbb2ffaaef10,sao paulo,SP,1,1,38.90,19.45,5.00,18.0,0.00
093805f8f2aeb63881444571e1f48f30,osasco,SP,22,18,1215.79,45.03,3.81,7.7,3.70
094ced053e257ae8cae57205592d6712,ribeirao preto,SP,19,13,1519.20,79.96,4.05,11.8,0.00
0951a6e282947e09cd47969f4ed0b47f,taboao da serra,SP,7,2,492.30,70.33,4.86,4.3,0.00
09883d9ab71c8fe8a9bfc7fc3075b07e,sao paulo,SP,5,5,329.50,65.90,3.40,14.0,20.00
099095b050cfe8eb1ddff5317587e96e,sao paulo,SP,17,11,5193.83,259.69,2.95,10.0,15.00
09bad886111255c5b5030314fc7f1a4a,sao paulo,SP,5,1,487.50,97.50,5.00,6.0,0.00
09f952a5f58d2285b0372551ae8f9b01,sao bernardo do campo,SP,50,11,11821.50,211.10,3.88,12.7,5.36
0a198e95d32b1be2da9424c962a6ebfa,contagem,MG,1,1,69.99,69.99,5.00,16.0,0.00
0a82f5fb06a4fe4ac2cf7cb412ec71b8,sao paulo,SP,2,2,462.00,231.00,5.00,5.0,0.00
0a85ebe4e328db81ac9109781205e2f7,jundiai,SP,12,8,667.90,55.66,4.58,4.8,8.33
0aa124728afc1131dff5655f4c6f487b,alfenas,MG,2,2,850.92,425.46,1.00,,
0aa2205ca24f113f4658a5c536667426,sao paulo,SP,4,3,815.62,74.15,2.82,6.5,0.00
0ac4201fda2c68ebc0e47cb9423cf3c9,sao paulo,SP,13,4,1676.88,119.78,4.29,12.1,7.14
0ad80de75c811326389cfb1daba7d45e,rio de janeiro,RJ,6,6,1449.40,241.57,5.00,8.5,0.00
0adac9fbd9a2b63cccaac4f8756c1ca8,louveira,SP,110,66,15960.95,112.40,3.89,12.3,4.93
0ade5cc4a305ed7093a23f68ca47519c,curitiba,PR,2,2,158.88,79.44,5.00,6.5,0.00
0aea4c6ae1505b3228ddf3dd7822ee5b,sorocaba,SP,8,8,1427.91,178.49,3.88,17.9,25.00
0af2ab31141893d26aca5a404a537dab,sao paulo,SP,1,1,59.00,59.00,5.00,5.0,0.00
0af977692321d895349eded183341d28,santos,SP,2,2,257.75,128.88,4.50,2.0,0.00
0afccdb8a34ee5c79f7c06faf2b4d56e,uberlandia,MG,25,10,1225.50,49.02,4.04,13.0,8.00
0b09101900100c0e9d312861fad5a1b9,sao paulo,SP,1,1,153.75,153.75,4.00,18.0,0.00
0b0ddbc7b9d9584f442c7ac92b0ff6c9,guarulhos,SP,3,3,1416.76,472.25,4.67,11.7,0.00
0b18d63d0cd1d723567903fd34a07df2,sp,SP,9,9,1678.14,119.87,4.79,6.6,0.00
0b1ca3ef18a63d7eb0c8897fa0849c08,sao roque,SP,1,1,55.00,55.00,5.00,6.0,0.00
0b35c634521043bf4b47e21547b99ab5,teixeira soares,PR,51,39,13533.65,173.51,3.49,16.9,11.54
0b36063d5818f81ccb94b54adfaebbf5,jaragua do sul,SC,1,1,765.00,51.00,5.00,14.0,0.00
0b3f27369a4d8df98f7eb91077e438ac,aruja,SP,2,2,146.51,73.26,4.00,7.0,0.00
0b46f784306be7200ca1700aa55d819f,belo horizonte,MG,1,1,19.90,19.90,5.00,3.0,0.00
0b64bcdb0784abc139af04077d49a20e,canoas,RS,4,2,137.60,34.40,4.75,8.0,0.00
0b90b6df587eb83608a64ea8b390cf07,maringa,PR,164,46,28592.32,136.15,4.00,14.0,3.33
0bae85eb84b9fb3bd773911e89288d54,itajai,SP,137,45,7482.21,51.25,4.21,9.8,0.68
0bb27263628258b8111a0262769fa9db,sao paulo,SP,1,1,22.20,22.20,5.00,41.0,0.00
0bb738e4d789e63e2267697c42d35a2d,sao roque,SP,30,4,2388.30,77.04,4.58,11.5,3.23
0be8ff43f22e456b4e0371b2245e4d01,sao paulo,SP,161,121,11805.50,65.59,3.89,9.9,6.11
